article_id,slug,title,status,live_url,old_wp_category,primary_topic,secondary_topics,locations,confidence,reason,decision,notes
813,prepare-your-home-plumbing-for-the-chicago-cold-snap,Prepare Your Home Plumbing for the Chicago Cold Snap,published,https://jblantonplumbing.com/knowledge-hub/prepare-your-home-plumbing-for-the-chicago-cold-snap,plumbing,Plumbing Tips,,Chicagoland,High,"Old WP category 'plumbing'. Location: Chicagoland (title ('Chicago' → region), High)",approve,
812,brown-friday-plumbing-drain-clog-emergency,It's Brown Friday: Is Your Plumbing Paying the Price for Yesterday's Feast?,published,https://jblantonplumbing.com/knowledge-hub/brown-friday-plumbing-drain-clog-emergency,drain,Drains,,,High,Old WP category 'drain',approve,
811,sewer-replacement-old-homes-chicagoland,Is Your Old House Sewer a Ticking Time Bomb? Why Chicagoland Homeowners Should Consider Replacement,published,https://jblantonplumbing.com/knowledge-hub/sewer-replacement-old-homes-chicagoland,sewer maintenance,Sewers,,Chicagoland,High,"Old WP category 'sewer maintenance'. Location: Chicagoland (title ('Chicago' → region), High)",approve,
810,unclogs-for-dogs-campaign-making-bigger-impact,"How Our ""Unclogs for Dogs"" Campaign Is Making a Bigger Impact Than Ever",published,https://jblantonplumbing.com/knowledge-hub/unclogs-for-dogs-campaign-making-bigger-impact,drain,Drains,,,High,Old WP category 'drain'. CHECK: the title reads like Company News ('campaign'),approve,
809,2025-best-restaurants-of-evanston-curated-by-j-blanton-plumbing,2025 Best Restaurants of Evanston — Curated by J Blanton Plumbing,published,https://jblantonplumbing.com/knowledge-hub/2025-best-restaurants-of-evanston-curated-by-j-blanton-plumbing,evanston; Uncategorized,Company News,Commercial,Evanston,Medium,"Title/slug mentions 'curated by' ×2 (announcement). Location: Evanston (old WP category 'evanston', High)",approve,
808,2025-best-restaurants-of-northbrook-curated-by-j-blanton-plumbing,2025 Best Restaurants of Northbrook — Curated by J Blanton Plumbing,published,https://jblantonplumbing.com/knowledge-hub/2025-best-restaurants-of-northbrook-curated-by-j-blanton-plumbing,northbrook; Uncategorized,Company News,Commercial,Northbrook,Medium,"Title/slug mentions 'curated by' ×2 (announcement). Location: Northbrook (old WP category 'northbrook', High)",approve,
807,2025-best-home-service-companies-of-evanston-chosen-by-j-blanton-plumbing,2025 Best Home Service Companies of Evanston — Chosen by J Blanton Plumbing,published,https://jblantonplumbing.com/knowledge-hub/2025-best-home-service-companies-of-evanston-chosen-by-j-blanton-plumbing,evanston; Uncategorized,Company News,,Evanston,Low,"Title/slug mentions 'chosen by' ×2 (announcement). Locations: Evanston (old WP category 'evanston', High); Chicagoland (body only, Low)",approve,Removed weak location(s): Chicagoland (body-only or ambiguous) — Marketing decision 2026-09-24
806,dont-let-flooding-catch-you-off-guard-tips-for-chicago-homeowners-after-torrential-rain,Don't Let Flooding Catch You Off Guard: Tips for Chicago Homeowners After Torrential Rain,published,https://jblantonplumbing.com/knowledge-hub/dont-let-flooding-catch-you-off-guard-tips-for-chicago-homeowners-after-torrential-rain,emergency plumbing,Emergency,,Chicagoland,High,"Old WP category 'emergency plumbing'. Location: Chicagoland (title ('Chicago' → region), High)",approve,
805,unclog-your-drain-fill-a-dogs-bowl-j-blanton-plumbing-launches-unclogs-for-dogs-charity-campaign,"Unclog Your Drain, Fill a Dog’s Bowl: J Blanton Plumbing Launches “Unclogs for Dogs” Charity Campaign",published,https://jblantonplumbing.com/knowledge-hub/unclog-your-drain-fill-a-dogs-bowl-j-blanton-plumbing-launches-unclogs-for-dogs-charity-campaign,Uncategorized,Company News,Drains,,Low,"Title/slug mentions 'charity' ×2 (announcement). Location: Chicagoland (body only, Low)",approve,Removed weak location(s): Chicagoland (body-only or ambiguous) — Marketing decision 2026-09-24
804,20251-best-home-service-companies-of-northbrook-chosen-by-j-blanton-plumbing,2025 Best Home Service Companies of Northbrook — Chosen by J Blanton Plumbing.,published,https://jblantonplumbing.com/knowledge-hub/20251-best-home-service-companies-of-northbrook-chosen-by-j-blanton-plumbing,northbrook; Uncategorized,Company News,,Northbrook,Low,"Title/slug mentions 'chosen by' ×2 (announcement). Locations: Northbrook (old WP category 'northbrook', High); Chicagoland (body only, Low)",approve,Removed weak location(s): Chicagoland (body-only or ambiguous) — Marketing decision 2026-09-24
803,bathroom-remodeling-in-chicago-beauty-function-and-craftsmanship-you-can-trust,"🛁 Bathroom Remodeling in Chicago: Beauty, Function, and Craftsmanship You Can Trust",published,https://jblantonplumbing.com/knowledge-hub/bathroom-remodeling-in-chicago-beauty-function-and-craftsmanship-you-can-trust,bathroom plumbing; northbrook,Plumbing Tips,,Northbrook; Chicagoland,High,"Old WP category 'bathroom plumbing'. Locations: Northbrook (old WP category 'northbrook', High); Chicagoland (title ('Chicago' → region), High)",approve,
802,real-stories-real-solutions-why-homeowners-trust-j-blanton-for-trenchless-sewer-repair,"Real Stories, Real Solutions: Why Homeowners Trust J Blanton for Trenchless Sewer Repair",published,https://jblantonplumbing.com/knowledge-hub/real-stories-real-solutions-why-homeowners-trust-j-blanton-for-trenchless-sewer-repair,evanston; trenchless sewer repair,Sewers,,Evanston,Low,"Old WP category 'trenchless sewer repair'. Locations: Evanston (old WP category 'evanston', High); Morton Grove (body only, Low); Chicagoland (body only, Low)",approve,Removed weak location(s): Morton Grove; Chicagoland (body-only or ambiguous) — Marketing decision 2026-09-24
801,45702-why-professional-sewage-line-backup-services-are-essential-for-home-safety-and-efficiency,Why Professional Sewage Line Backup Services Are Essential for Home Safety and Efficiency,published,https://jblantonplumbing.com/knowledge-hub/45702-why-professional-sewage-line-backup-services-are-essential-for-home-safety-and-efficiency,Uncategorized,Sewers,,,Low,"Title/slug mentions 'sewage' ×2. Location: Chicagoland (body only, Low)",approve,Removed weak location(s): Chicagoland (body-only or ambiguous) — Marketing decision 2026-09-24
800,45702-gas-lines-and-home-renovations-6-key-considerations-for-a-safe-and-efficient-upgrade,Gas Lines and Home Renovations: 6 Key Considerations for a Safe and Efficient Upgrade,published,https://jblantonplumbing.com/knowledge-hub/45702-gas-lines-and-home-renovations-6-key-considerations-for-a-safe-and-efficient-upgrade,gas lines,Gas Lines,,,Low,"Old WP category 'gas lines'. Locations: Evanston (body only, Low); Chicagoland (body only, Low)",approve,Removed weak location(s): Evanston; Chicagoland (body-only or ambiguous) — Marketing decision 2026-09-24
799,45701-save-water-save-money-the-impact-of-expert-plumbing-repairs-on-efficiency,"Save Water, Save Money: The Impact of Expert Plumbing Repairs on Efficiency",published,https://jblantonplumbing.com/knowledge-hub/45701-save-water-save-money-the-impact-of-expert-plumbing-repairs-on-efficiency,Uncategorized,Plumbing Tips,,,Low,"Body mentions 'leaks' ×10 (first 500 words; 41 topic words in all). Location: Chicagoland (body only, Low)",approve,Removed weak location(s): Chicagoland (body-only or ambiguous) — Marketing decision 2026-09-24
798,45701-why-you-should-replace-a-water-heater-before-it-fails-and-how-it-saves-you-money,Why You Should Replace a Water Heater Before It Fails—And How It Saves You Money,published,https://jblantonplumbing.com/knowledge-hub/45701-why-you-should-replace-a-water-heater-before-it-fails-and-how-it-saves-you-money,water heater installation,Water Heaters,,,High,Old WP category 'water heater installation',approve,
797,45701-same-day-plumbing-help-a-homeowners-guide-to-finding-the-right-plumber-fast,Same-Day Plumbing Help: A Homeowner’s Guide to Finding the Right Plumber Fast,published,https://jblantonplumbing.com/knowledge-hub/45701-same-day-plumbing-help-a-homeowners-guide-to-finding-the-right-plumber-fast,Uncategorized,Emergency,,,Low,"Body mentions 'emergency' ×5 (first 500 words; 6 topic words in all). Location: Chicagoland (body only, Low)",approve,Removed weak location(s): Chicagoland (body-only or ambiguous) — Marketing decision 2026-09-24
